,link,user,text,likes,retweets
0,https://twitter.com/theapplehub/status/1780348147962704215#m,Apple Hub,Here is the Apple Buyerâ€™s Guide for April! (see thread)   New products are expected to launch next month!,3946,401
1,https://twitter.com/theapplehub/status/1787872547733926004#m,Apple Hub,"The most expensive iPad Pro configuration with Apple Pencil Pro + Magic Keyboard costs over $3,000 ğŸ˜³",853,57
2,https://twitter.com/theapplehub/status/1787867709902090677#m,Apple Hub,The new Apple Pencil lineup ğŸ˜µâ€ğŸ’«,1267,191
3,https://twitter.com/theapplehub/status/1787855187144815031#m,Apple Hub,And that's a wrap! What did you think of the event? #AppleEvent,780,37
4,https://twitter.com/theapplehub/status/1787854831392321635#m,Apple Hub,The iPad (10th gen) is now available at a lower price #AppleEvent,1674,174
5,https://twitter.com/theapplehub/status/1787854475560210754#m,Apple Hub,"This is the new iPad Pro, available for $999 and $1299 #AppleEvent",3899,623
6,https://twitter.com/theapplehub/status/1787854209888763974#m,Apple Hub,The new Apple Pencil Pro will be available for $129 #AppleEvent,795,126
7,https://twitter.com/theapplehub/status/1787853905231261780#m,Apple Hub,This is the new Apple Pencil Pro #AppleEvent,1625,367
8,https://twitter.com/theapplehub/status/1787853675337232517#m,Apple Hub,"With the Apple Pencil Pro, you can now squeeze to bring up a new menu #AppleEvent",774,102
9,https://twitter.com/theapplehub/status/1787853080509530498#m,Apple Hub,Apple introduces the Apple Pencil Pro! #AppleEvent,958,136
